originlat,originlong,number
51.2344,4.41006,1
51.0556,3.72857,2
42.6972,23.3244,3
44.1978,17.9124,4
43.5098,18.7725,5
55.3246,10.2662,6
53.2476,8.19834,7
51.7431,7.18779,8
51.8347,6.61761,9
47.2181,-1.55306,10
45.194,5.73202,11
42.8907,1.34832,12
47.3268,5.04618,13
41.7218,44.7831,14
62.0294,129.719,15
55.9542,-3.20277,16
51.7988,-4.97735,17
43.6803,10.8576,18
45.3267,14.4471,19
45.3267,14.4471,20
48.2025,16.3688,21
48.2025,16.3688,22
48.2025,16.3688,23
33.3386,44.3939,24
50.0601,19.9326,25
50.0363,19.2535,26
54.3531,18.6511,27
51.9189,19.1343,28
40.9642,-5.66385,29
40.6083,-6.82984,30
40.6083,-6.82984,31
47.1604,27.5905,32
59.3323,18.0628,33
44.8124,20.4624,34
44.8124,20.4624,35
44.8124,20.4624,36
43.8592,18.4394,37
44.8124,20.4624,38
45.8024,15.1705,39
40.4203,-3.70577,40
41.3856,2.16875,41
40.4203,-3.70577,42
41.3856,2.16875,43
28.4604,-16.2645,44
47.5062,19.0648,45
47.5062,19.0648,46
-27.4689,153.023,47
-12.97,-38.5046,48
39.906,116.388,49
31.4649,35.1043,50
35.4527,139.595,51
51.0452,-114.063,52
49.2604,-123.114,53
